molecule_A2B,2_1_3
├─ add                    0.351 ns      │ 0.407 ns      │ 0.395 ns      │ 0.388 ns      │ 100     │ 204800
├─ divan_inference        261.2 µs      │ 289.8 µs      │ 261.5 µs      │ 263 µs        │ 100     │ 100
├─ divan_training         342 µs        │ 347.8 µs      │ 342.2 µs      │ 342.8 µs      │ 100     │ 100
╰─ divan_training_verify  334.9 µs      │ 340.5 µs      │ 338.1 µs      │ 338 µs        │ 100     │ 100

molecule_A2B,2_1_4
├─ add                    0.394 ns      │ 0.406 ns      │ 0.395 ns      │ 0.396 ns      │ 100     │ 204800
├─ divan_inference        332.5 µs      │ 364.1 µs      │ 333.6 µs      │ 335 µs        │ 100     │ 100
├─ divan_training         498.1 µs      │ 583.2 µs      │ 500.5 µs      │ 501.5 µs      │ 100     │ 100
╰─ divan_training_verify  496.5 µs      │ 577.8 µs      │ 498.1 µs      │ 499.1 µs      │ 100     │ 100

molecule_A2B,2_1_5
├─ add                    0.779 ns      │ 0.805 ns      │ 0.781 ns      │ 0.782 ns      │ 100     │ 204800
├─ divan_inference        436.3 µs      │ 475.5 µs      │ 439 µs        │ 440.2 µs      │ 100     │ 100
├─ divan_training         649.7 µs      │ 661.6 µs      │ 652 µs        │ 652.1 µs      │ 100     │ 100
╰─ divan_training_verify  646.6 µs      │ 658.2 µs      │ 649.9 µs      │ 649.7 µs      │ 100     │ 100

molecule_A2B,2_1_6
├─ add                    0.779 ns      │ 0.792 ns      │ 0.781 ns      │ 0.781 ns      │ 100     │ 204800
├─ divan_inference        578.7 µs      │ 620.6 µs      │ 582.1 µs      │ 582.6 µs      │ 100     │ 100
├─ divan_training         947.4 µs      │ 966.7 µs      │ 950.5 µs      │ 950.6 µs      │ 100     │ 100
╰─ divan_training_verify  948.9 µs      │ 955.2 µs      │ 950.7 µs      │ 950.7 µs      │ 100     │ 100

molecule_A2B,2_1_7
├─ add                    0.733 ns      │ 0.782 ns      │ 0.776 ns      │ 0.762 ns      │ 100     │ 409600
├─ divan_inference        847 µs        │ 902.9 µs      │ 849.2 µs      │ 850.1 µs      │ 100     │ 100
├─ divan_training         1.501 ms      │ 1.6 ms        │ 1.503 ms      │ 1.505 ms      │ 100     │ 100
╰─ divan_training_verify  1.5 ms        │ 1.508 ms      │ 1.502 ms      │ 1.502 ms      │ 100     │ 100

molecule_A2B,2_1_8
├─ add                    0.73 ns       │ 3.272 ns      │ 0.779 ns      │ 0.811 ns      │ 100     │ 409600
├─ divan_inference        1.194 ms      │ 1.258 ms      │ 1.195 ms      │ 1.198 ms      │ 100     │ 100
├─ divan_training         1.924 ms      │ 2.146 ms      │ 1.931 ms      │ 1.935 ms      │ 100     │ 100
╰─ divan_training_verify  1.942 ms      │ 3.4 ms        │ 1.962 ms      │ 1.975 ms      │ 100     │ 100

molecule_A2B2,2_2_3
├─ add                    0.308 ns      │ 0.401 ns      │ 0.392 ns      │ 0.363 ns      │ 100     │ 204800
├─ divan_inference        465.8 µs      │ 495 µs        │ 466.5 µs      │ 467.4 µs      │ 100     │ 100
├─ divan_training         610.3 µs      │ 675.1 µs      │ 614.3 µs      │ 615.3 µs      │ 100     │ 100
╰─ divan_training_verify  608.8 µs      │ 732.8 µs      │ 611.5 µs      │ 614.5 µs      │ 100     │ 100

molecule_A2B2,2_2_4
├─ add                    0.392 ns      │ 1.976 ns      │ 0.393 ns      │ 0.411 ns      │ 100     │ 204800
├─ divan_inference        848.3 µs      │ 891.5 µs      │ 854.3 µs      │ 855.1 µs      │ 100     │ 100
├─ divan_training         1.383 ms      │ 1.399 ms      │ 1.386 ms      │ 1.387 ms      │ 100     │ 100
╰─ divan_training_verify  1.375 ms      │ 1.384 ms      │ 1.378 ms      │ 1.378 ms      │ 100     │ 100

molecule_A2B2,2_2_5
├─ add                    0.393 ns      │ 0.412 ns      │ 0.394 ns      │ 0.395 ns      │ 100     │ 204800
├─ divan_inference        1.596 ms      │ 1.671 ms      │ 1.603 ms      │ 1.603 ms      │ 100     │ 100
├─ divan_training         3.096 ms      │ 3.15 ms       │ 3.125 ms      │ 3.125 ms      │ 100     │ 100
╰─ divan_training_verify  3.09 ms       │ 3.127 ms      │ 3.105 ms      │ 3.105 ms      │ 100     │ 100

molecule_A2B2,2_2_6
├─ add                    0.632 ns      │ 0.642 ns      │ 0.633 ns      │ 0.633 ns      │ 100     │ 204800
├─ divan_inference        2.801 ms      │ 2.835 ms      │ 2.813 ms      │ 2.813 ms      │ 100     │ 100
├─ divan_training         6.149 ms      │ 6.176 ms      │ 6.151 ms      │ 6.152 ms      │ 100     │ 100
╰─ divan_training_verify  6.157 ms      │ 6.18 ms       │ 6.16 ms       │ 6.161 ms      │ 100     │ 100

molecule_A2B2,2_2_7
├─ add                    0.35 ns       │ 9.312 ns      │ 0.351 ns      │ 0.456 ns      │ 100     │ 204800
├─ divan_inference        5.373 ms      │ 5.431 ms      │ 5.382 ms      │ 5.383 ms      │ 100     │ 100
├─ divan_training         12.4 ms       │ 12.46 ms      │ 12.42 ms      │ 12.42 ms      │ 100     │ 100
╰─ divan_training_verify  12.4 ms       │ 12.47 ms      │ 12.42 ms      │ 12.42 ms      │ 100     │ 100

molecule_A2B2,2_2_8
├─ add                    0.777 ns      │ 0.783 ns      │ 0.781 ns      │ 0.78 ns       │ 100     │ 409600
├─ divan_inference        9.512 ms      │ 9.622 ms      │ 9.515 ms      │ 9.517 ms      │ 100     │ 100
├─ divan_training         25.16 ms      │ 25.24 ms      │ 25.18 ms      │ 25.18 ms      │ 100     │ 100
╰─ divan_training_verify  25.12 ms      │ 25.22 ms      │ 25.16 ms      │ 25.16 ms      │ 100     │ 100

molecule_A2B2C,2_2_1_3
├─ add                    0.653 ns      │ 0.671 ns      │ 0.653 ns      │ 0.654 ns      │ 100     │ 204800
├─ divan_inference        1.028 ms      │ 1.097 ms      │ 1.033 ms      │ 1.035 ms      │ 100     │ 100
├─ divan_training         1.633 ms      │ 1.681 ms      │ 1.648 ms      │ 1.652 ms      │ 100     │ 100
╰─ divan_training_verify  1.631 ms      │ 1.754 ms      │ 1.638 ms      │ 1.64 ms       │ 100     │ 100

molecule_A2B2C,2_2_1_4
├─ add                    0.78 ns       │ 0.792 ns      │ 0.781 ns      │ 0.781 ns      │ 100     │ 204800
├─ divan_inference        2.727 ms      │ 2.849 ms      │ 2.743 ms      │ 2.744 ms      │ 100     │ 100
├─ divan_training         6.235 ms      │ 6.255 ms      │ 6.242 ms      │ 6.242 ms      │ 100     │ 100
╰─ divan_training_verify  6.23 ms       │ 6.247 ms      │ 6.232 ms      │ 6.232 ms      │ 100     │ 100

molecule_A2B2C,2_2_1_5
├─ add                    0.777 ns      │ 0.79 ns       │ 0.778 ns      │ 0.78 ns       │ 100     │ 204800
├─ divan_inference        8.488 ms      │ 8.631 ms      │ 8.493 ms      │ 8.495 ms      │ 100     │ 100
├─ divan_training         22.18 ms      │ 22.27 ms      │ 22.2 ms       │ 22.2 ms       │ 100     │ 100
╰─ divan_training_verify  22.21 ms      │ 22.29 ms      │ 22.22 ms      │ 22.22 ms      │ 100     │ 100

molecule_A2B2C,2_2_1_6
├─ add                    0.394 ns      │ 0.407 ns      │ 0.395 ns      │ 0.397 ns      │ 100     │ 204800
├─ divan_inference        23.11 ms      │ 23.26 ms      │ 23.12 ms      │ 23.12 ms      │ 100     │ 100
├─ divan_training         55.23 ms      │ 55.32 ms      │ 55.25 ms      │ 55.25 ms      │ 100     │ 100
╰─ divan_training_verify  55.28 ms      │ 55.37 ms      │ 55.29 ms      │ 55.3 ms       │ 100     │ 100

molecule_A2B2C,2_2_1_7
├─ add                    0.694 ns      │ 0.787 ns      │ 0.777 ns      │ 0.766 ns      │ 100     │ 204800
├─ divan_inference        58.05 ms      │ 58.21 ms      │ 58.08 ms      │ 58.09 ms      │ 100     │ 100
├─ divan_training         137.9 ms      │ 138.1 ms      │ 137.9 ms      │ 137.9 ms      │ 100     │ 100
╰─ divan_training_verify  137.7 ms      │ 138 ms        │ 137.8 ms      │ 137.8 ms      │ 100     │ 100

molecule_A2B2C,2_2_1_8
├─ add                    0.394 ns      │ 0.413 ns      │ 0.394 ns      │ 0.395 ns      │ 100     │ 204800
├─ divan_inference        121.5 ms      │ 121.9 ms      │ 121.7 ms      │ 121.7 ms      │ 100     │ 100
├─ divan_training         303.6 ms      │ 312.9 ms      │ 304.6 ms      │ 304.8 ms      │ 100     │ 100
╰─ divan_training_verify  303.5 ms      │ 305.1 ms      │ 304.1 ms      │ 304.2 ms      │ 100     │ 100

molecule_A2BC,2_1_1_3
├─ add                    0.331 ns      │ 0.341 ns      │ 0.332 ns      │ 0.332 ns      │ 100     │ 204800
├─ divan_inference        679.3 µs      │ 733.9 µs      │ 685.1 µs      │ 686.5 µs      │ 100     │ 100
├─ divan_training         850.3 µs      │ 969 µs        │ 852.9 µs      │ 854.3 µs      │ 100     │ 100
╰─ divan_training_verify  845.7 µs      │ 856 µs        │ 849.8 µs      │ 849.7 µs      │ 100     │ 100

molecule_A2BC,2_1_1_4
├─ add                    0.777 ns      │ 0.789 ns      │ 0.778 ns      │ 0.778 ns      │ 100     │ 204800
├─ divan_inference        1.266 ms      │ 1.348 ms      │ 1.291 ms      │ 1.289 ms      │ 100     │ 100
├─ divan_training         2.37 ms       │ 2.399 ms      │ 2.376 ms      │ 2.377 ms      │ 100     │ 100
╰─ divan_training_verify  2.37 ms       │ 2.411 ms      │ 2.383 ms      │ 2.385 ms      │ 100     │ 100

molecule_A2BC,2_1_1_5
├─ add                    0.377 ns      │ 16.38 ns      │ 0.378 ns      │ 0.538 ns      │ 100     │ 204800
├─ divan_inference        2.466 ms      │ 2.496 ms      │ 2.473 ms      │ 2.473 ms      │ 100     │ 100
├─ divan_training         5.269 ms      │ 5.301 ms      │ 5.271 ms      │ 5.272 ms      │ 100     │ 100
╰─ divan_training_verify  5.266 ms      │ 5.297 ms      │ 5.27 ms       │ 5.271 ms      │ 100     │ 100

molecule_A2BC,2_1_1_6
├─ add                    0.377 ns      │ 0.389 ns      │ 0.378 ns      │ 0.379 ns      │ 100     │ 204800
├─ divan_inference        5.234 ms      │ 5.279 ms      │ 5.239 ms      │ 5.24 ms       │ 100     │ 100
├─ divan_training         12.08 ms      │ 12.18 ms      │ 12.13 ms      │ 12.13 ms      │ 100     │ 100
╰─ divan_training_verify  12.07 ms      │ 12.16 ms      │ 12.1 ms       │ 12.1 ms       │ 100     │ 100

molecule_A2BC,2_1_1_7
├─ add                    0.779 ns      │ 0.793 ns      │ 0.78 ns       │ 0.782 ns      │ 100     │ 204800
├─ divan_inference        9.798 ms      │ 9.929 ms      │ 9.804 ms      │ 9.806 ms      │ 100     │ 100
├─ divan_training         25.04 ms      │ 25.15 ms      │ 25.08 ms      │ 25.08 ms      │ 100     │ 100
╰─ divan_training_verify  25 ms         │ 25.16 ms      │ 25.06 ms      │ 25.06 ms      │ 100     │ 100

molecule_A2BC,2_1_1_8
├─ add                    0.78 ns       │ 0.791 ns      │ 0.781 ns      │ 0.781 ns      │ 100     │ 204800
├─ divan_inference        20.09 ms      │ 20.26 ms      │ 20.11 ms      │ 20.12 ms      │ 100     │ 100
├─ divan_training         46.62 ms      │ 46.72 ms      │ 46.63 ms      │ 46.64 ms      │ 100     │ 100
╰─ divan_training_verify  46.21 ms      │ 46.29 ms      │ 46.23 ms      │ 46.23 ms      │ 100     │ 100

molecule_A2BCD,2_1_1_1_3
├─ add                    0.782 ns      │ 2.792 ns      │ 0.783 ns      │ 0.803 ns      │ 100     │ 204800
├─ divan_inference        1.401 ms      │ 1.476 ms      │ 1.404 ms      │ 1.406 ms      │ 100     │ 100
├─ divan_training         2.836 ms      │ 2.905 ms      │ 2.871 ms      │ 2.872 ms      │ 100     │ 100
╰─ divan_training_verify  2.837 ms      │ 2.908 ms      │ 2.866 ms      │ 2.868 ms      │ 100     │ 100

molecule_A2BCD,2_1_1_1_4
├─ add                    0.424 ns      │ 10.09 ns      │ 0.426 ns      │ 0.523 ns      │ 100     │ 51200
├─ divan_inference        4.703 ms      │ 4.945 ms      │ 4.71 ms       │ 4.74 ms       │ 100     │ 100
├─ divan_training         10.49 ms      │ 10.56 ms      │ 10.52 ms      │ 10.52 ms      │ 100     │ 100
╰─ divan_training_verify  10.47 ms      │ 10.53 ms      │ 10.5 ms       │ 10.5 ms       │ 100     │ 100

molecule_A2BCD,2_1_1_1_5
├─ add                    0.777 ns      │ 0.779 ns      │ 0.778 ns      │ 0.778 ns      │ 100     │ 204800
